Week Ending,Federal Provider Number,Provider Name,Provider State,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
01/05/2025,165171,Silver Oak Nursing And Rehabilitation Center Llc,IA,Yes,Yes,0,243,0,16,0,0,0,102,0,76,4,5.263,98,0,0
01/05/2025,165172,Briarwood Healthcare Center,IA,Yes,Yes,0,79,0,12,0,0,0,66,0,53,41,77.358,178,0,0
01/05/2025,165173,Osage Rehab And Health Care Center,IA,Yes,Yes,0,92,0,3,0,0,0,99,0,30,2,6.667,47,0,0
01/05/2025,165174,Casa De Paz Health Care Center,IA,Yes,Yes,0,113,0,1,0,0,0,90,0,67,45,67.164,90,8,8.889
01/05/2025,165175,Greater Southside Health And Rehabilitation,IA,Yes,Yes,0,107,0,1,0,0,0,73,0,58,2,3.448,80,0,0
01/05/2025,165179,Norwalk Nursing And Rehabilitation Center,IA,Yes,Yes,0,74,0,1,0,0,0,66,0,43,21,48.837,66,3,4.545
01/05/2025,165185,Red Oak Rehab And Care Center,IA,Yes,Yes,0,58,0,9,0,0,0,65,0,27,15,55.556,58,0,0
01/05/2025,165186,Good Samaritan Society - Indianola,IA,Yes,Yes,0,153,0,24,0,0,0,131,0,83,0,0,125,0,0
01/05/2025,165188,Azria Health Winterset,IA,Yes,Yes,0,74,0,3,0,0,0,64,0,49,37,75.51,109,14,12.844
01/05/2025,165190,Good Samaritan Society - Algona,IA,Yes,Yes,0,105,0,10,0,0,0,59,0,60,40,66.667,94,0,0
01/05/2025,165191,Good Samaritan Society - Red Oak,IA,Yes,Yes,0,68,0,13,0,0,0,45,0,50,31,62,53,0,0
01/05/2025,165193,Dunlap Specialty Care,IA,Yes,Yes,0,63,0,36,0,0,0,67,0,32,22,68.75,50,0,0
01/05/2025,165198,Iowa City Rehab & Health Care,IA,Yes,Yes,6,106,0,4,0,0,0,77,1,44,1,2.273,57,0,0
01/05/2025,165199,Creston Specialty Care,IA,Yes,Yes,0,142,0,10,0,0,0,111,0,59,39,66.102,88,1,1.136
01/05/2025,165202,Azria Health Park Place,IA,Yes,Yes,0,102,0,9,0,0,0,87,0,52,0,0,319,0,0
01/05/2025,165204,Keosauqua Health Care Center,IA,Yes,Yes,0,126,0,5,0,0,0,95,0,55,38,69.091,78,0,0
01/05/2025,165205,Good Samaritan Society - Lemars,IA,Yes,Yes,0,92,0,7,0,0,0,79,0,59,15,25.424,105,0,0
01/05/2025,165207,Good Samaritan Society - Holstein,IA,Yes,Yes,0,132,0,19,0,0,0,111,0,55,29,52.727,66,0,0
01/05/2025,165208,Granger Nursing & Rehabilitation Center,IA,Yes,Yes,0,130,0,11,0,0,0,74,0,39,31,79.487,66,0,0
01/05/2025,165209,Southridge Specialty Care,IA,Yes,Yes,0,106,0,0,0,0,0,117,0,68,55,80.882,98,7,7.143
01/05/2025,165210,Good Samaritan Society - Saint Ansgar,IA,Yes,Yes,0,91,0,9,0,0,0,92,0,37,30,81.081,62,0,0
01/05/2025,165211,Good Samaritan Society - Ottumwa,IA,Yes,Yes,0,200,0,24,0,0,0,129,0,110,98,89.091,160,143,89.375
01/05/2025,165214,Lantern Park Specialty Care,IA,Yes,Yes,0,116,0,6,0,0,0,107,0,86,59,68.605,115,29,25.217
01/05/2025,165215,Lyon Specialty Care,IA,Yes,Yes,0,71,0,5,0,0,0,81,0,36,23,63.889,49,0,0
01/05/2025,165219,Laurens Care Center,IA,Yes,Yes,0,61,0,3,0,0,0,60,0,26,16,61.538,69,0,0
01/05/2025,165220,Azria Health Prairie Ridge,IA,Yes,Yes,0,125,0,6,0,0,0,78,0,61,34,55.738,145,3,2.069
01/05/2025,165224,Mount Ayr Health Care Center,IA,Yes,Yes,0,53,0,9,0,0,0,94,0,34,20,58.824,69,0,0
01/05/2025,165225,Centerville Specialty Care,IA,Yes,Yes,0,110,0,18,0,0,0,75,0,47,20,42.553,61,0,0
01/05/2025,165227,Birkwood Village Of Fort Madison,IA,Yes,Yes,0,116,0,3,0,0,0,140,0,55,34,61.818,101,2,1.98
01/05/2025,165228,Dubuque Specialty Care,IA,Yes,Yes,0,109,0,17,0,0,0,60,0,51,42,82.353,76,0,0
01/05/2025,165230,Oakland Manor,IA,Yes,Yes,0,103,0,8,0,0,0,54,0,48,19,39.583,53,4,7.547
01/05/2025,165233,Regency Park Nursing & Rehab Center Of Jefferson,IA,Yes,Yes,0,83,0,5,0,0,0,85,0,43,4,9.302,59,0,0
01/05/2025,165234,Parkview Manor,IA,Yes,Yes,0,137,0,7,0,0,0,78,0,49,0,0,73,1,1.37
01/05/2025,165236,Good Samaritan Society - Manson,IA,Yes,Yes,4,51,0,0,0,0,0,54,1,35,18,51.429,62,4,6.452
01/05/2025,165240,Good Samaritan Society - Waukon,IA,Yes,Yes,0,105,0,13,0,0,0,78,0,51,39,76.471,71,1,1.408
01/05/2025,165241,Grundy Care Center,IA,Yes,Yes,0,99,0,12,0,0,0,82,0,30,16,53.333,39,0,0
01/05/2025,165243,Chautauqua Guest Home #3,IA,Yes,Yes,3,65,0,3,1,1,0,84,1,44,29,65.909,91,2,2.198
01/05/2025,165245,Hillcrest Health Care Center,IA,Yes,Yes,0,99,0,9,0,0,0,84,0,49,2,4.082,57,0,0
01/05/2025,165247,Good Samaritan Society - George,IA,Yes,Yes,0,155,0,7,0,0,0,131,0,25,12,48,47,0,0
01/05/2025,165248,Pleasant Acres Care Center,IA,Yes,Yes,0,50,0,1,0,0,0,52,0,28,0,0,51,0,0
01/05/2025,165252,Westview Acres Care Center,IA,Yes,Yes,0,87,0,2,0,0,0,86,0,34,21,61.765,68,0,0
01/05/2025,165254,"Oakview, Inc.",IA,Yes,Yes,1,33,0,1,0,0,0,56,0,42,1,2.381,82,1,1.22
01/05/2025,165255,Via Of Carlisle,IA,Yes,Yes,0,114,0,11,0,0,0,123,0,74,53,71.622,127,4,3.15
01/05/2025,165257,Golden Age Care Center,IA,Yes,Yes,0,94,0,22,0,0,0,112,0,37,21,56.757,62,2,3.226
01/05/2025,165260,Aspire Of Donnellson,IA,Yes,Yes,0,65,0,1,0,0,0,60,0,0,0,0,0,0,0
01/05/2025,165263,Mechanicsville Specialty Care,IA,Yes,Yes,0,64,0,1,0,0,0,41,0,28,9,32.143,38,4,10.526
01/05/2025,165268,Rehabilitation Center Of Des Moines,IA,Yes,Yes,0,111,0,4,0,0,0,91,0,72,0,0,80,0,0
01/05/2025,165269,Clearview Home,IA,Yes,Yes,4,162,0,9,0,0,0,174,2,73,53,72.603,104,2,1.923
01/05/2025,165272,University Park Nursing & Rehabilitation Center,IA,Yes,Yes,0,176,0,19,0,0,0,84,0,81,50,61.728,118,0,0
01/05/2025,165273,Via Of Des Moines,IA,Yes,Yes,0,126,0,9,0,0,0,104,0,75,55,73.333,129,5,3.876
01/05/2025,165275,Crest Haven Care Centre,IA,Yes,Yes,0,47,0,0,0,0,0,54,0,26,26,100,42,0,0
01/05/2025,165279,Monticello Nursing & Rehab Cen,IA,Yes,Yes,0,149,0,24,0,0,0,129,0,48,18,37.5,83,0,0
01/05/2025,165281,On With Life Long Term Care,IA,Yes,Yes,0,29,0,0,0,0,0,96,0,38,28,73.684,101,12,11.881
01/05/2025,165286,Sunrise Hill Care Center,IA,Yes,Yes,0,97,0,12,0,0,0,101,0,48,34,70.833,88,3,3.409
01/05/2025,165288,Atlantic Specialty Care,IA,Yes,Yes,0,186,0,31,0,0,0,121,0,63,41,65.079,67,0,0
01/05/2025,165290,North Crest Living Center,IA,Yes,Yes,0,58,0,1,0,0,0,68,0,56,50,89.286,85,5,5.882
01/05/2025,165291,"Friendship Haven, Inc",IA,Yes,Yes,1,178,0,10,0,0,0,345,0,118,75,63.559,304,4,1.316
01/05/2025,165298,Pinnacle Specialty Care,IA,Yes,Yes,0,162,0,7,0,0,0,136,0,89,60,67.416,95,0,0
01/05/2025,165301,Great River Care Center,IA,Yes,Yes,0,77,0,25,0,0,0,81,0,25,15,60,43,16,37.209
01/05/2025,165303,Rehabilitation Centers Of Independence West Campus,IA,Yes,Yes,0,85,0,2,0,0,0,120,0,52,32,61.538,96,3,3.125
01/05/2025,165309,Shell Rock Senior Living,IA,Yes,Yes,0,68,0,1,0,0,0,46,0,37,26,70.27,73,2,2.74
01/05/2025,165311,Accura Healthcare Of Le Mars,IA,Yes,Yes,0,58,0,11,0,0,0,80,0,43,21,48.837,75,1,1.333
01/05/2025,165314,Lamoni Specialty Care,IA,Yes,Yes,0,55,0,1,0,0,0,43,0,31,19,61.29,58,0,0
01/05/2025,165318,Colonial Manor Of Amana,IA,Yes,Yes,0,92,0,10,0,0,0,91,0,38,27,71.053,98,5,5.102
01/05/2025,165320,"Zearing Health Care, Llc",IA,Yes,Yes,0,44,0,0,1,1,0,29,0,36,23,63.889,46,3,6.522
01/05/2025,165322,Cottage Grove Place,IA,Yes,Yes,6,90,0,3,1,1,0,78,6,57,52,91.228,99,0,0
01/05/2025,165324,"Accura Healthcare Of Pleasantville, Llc",IA,Yes,Yes,0,87,0,1,0,0,0,44,0,42,36,85.714,41,1,2.439
01/05/2025,165326,Bloomfield Care Center,IA,Yes,Yes,0,114,0,11,0,0,0,126,0,42,21,50,71,1,1.408
01/05/2025,165327,Sunrise Terrace Nursing & Rehabilitation Center,IA,Yes,Yes,0,69,0,2,0,0,0,80,0,36,23,63.889,71,2,2.817
01/05/2025,165329,Kingsley Specialty Care,IA,Yes,Yes,0,96,0,6,0,0,0,70,0,34,21,61.765,65,0,0
01/05/2025,165332,Accura Healthcare Of Stanton,IA,Yes,Yes,0,100,0,1,0,0,0,71,0,41,21,51.22,111,0,0
01/05/2025,165333,Hallmark Care Center,IA,Yes,Yes,0,79,0,5,0,0,0,124,0,40,39,97.5,107,2,1.869
01/05/2025,165335,Hubbard Care Center,IA,Yes,Yes,0,87,0,4,0,0,0,82,0,47,0,0,95,0,0
01/05/2025,165340,Grandview Healthcare Center,IA,Yes,Yes,0,65,0,5,0,0,0,157,0,53,29,54.717,117,1,0.855
01/05/2025,165341,Oelwein Health Care Center,IA,Yes,Yes,0,118,0,8,1,1,0,121,0,52,42,80.769,68,5,7.353
01/05/2025,165344,Aspire Of Gowrie,IA,Yes,Yes,0,35,0,8,0,0,0,31,0,17,17,100,24,24,100
01/05/2025,165347,Nora Springs Care Center,IA,Yes,Yes,0,106,0,6,0,0,0,131,0,40,26,65,78,0,0
01/05/2025,165352,Emmetsburg Care Center,IA,Yes,Yes,0,40,0,1,0,0,0,81,0,37,22,59.459,72,0,0
01/05/2025,165353,Valley Vue Care Center,IA,Yes,Yes,0,91,0,5,0,0,0,149,0,31,21,67.742,75,0,0
01/05/2025,165357,Azria Health Rose Vista,IA,Yes,Yes,3,146,0,24,0,0,0,120,0,48,29,60.417,96,0,0
01/05/2025,165358,Thomas Rest Haven,IA,Yes,Yes,1,81,0,8,0,0,0,99,0,33,25,75.758,92,0,0
01/05/2025,165361,Rolling Green Village Care Cen,IA,Yes,Yes,0,99,0,13,0,0,0,168,0,52,49,94.231,87,83,95.402
01/05/2025,165362,Clarion Wellness And Rehabilitation Center,IA,Yes,Yes,0,156,0,3,0,0,0,87,0,64,2,3.125,66,0,0
01/05/2025,165363,Westview Care Center,IA,Yes,Yes,0,122,0,10,0,0,0,161,0,57,1,1.754,96,0,0
01/05/2025,165365,Oakwood Care Center,IA,Yes,Yes,0,138,0,5,0,0,0,109,0,59,38,64.407,130,8,6.154
01/05/2025,165367,Heritage Care And Rehabilitation Center,IA,Yes,Yes,0,162,0,1,0,0,0,139,0,52,37,71.154,91,0,0
01/05/2025,165369,Westview Of Indianola Care Center,IA,Yes,Yes,0,133,0,7,0,0,0,179,0,64,38,59.375,128,7,5.469
01/05/2025,165373,Azria Health Longview,IA,Yes,Yes,0,143,0,28,0,0,0,155,0,75,32,42.667,198,0,0
01/05/2025,165374,Mill Valley Care Center,IA,Yes,Yes,0,57,0,2,0,0,0,81,0,42,23,54.762,67,3,4.478
01/05/2025,165377,Wheatland Manor,IA,Yes,Yes,1,104,0,7,0,0,0,44,0,43,36,83.721,70,5,7.143
01/05/2025,165379,Edgewood Convalescent Home,IA,Yes,Yes,0,100,0,6,0,0,0,91,0,43,33,76.744,71,0,0
01/05/2025,165381,Windsor Place Senior Living Campus,IA,Yes,Yes,0,60,0,7,0,0,0,51,0,27,0,0,49,0,0
01/05/2025,165382,"Accura Healthcare Of Knoxville, Llc",IA,Yes,Yes,0,57,0,3,0,0,0,62,0,49,22,44.898,79,2,2.532
01/05/2025,165388,Lone Tree Health Care Center Inc,IA,Yes,Yes,0,54,0,2,0,0,0,38,0,34,30,88.235,78,4,5.128
01/05/2025,165390,State Center Specialty Care,IA,Yes,Yes,0,58,0,0,0,0,0,32,0,34,19,55.882,37,0,0
01/05/2025,165396,River Hills Village In Keokuk,IA,Yes,Yes,1,145,0,4,0,0,0,192,0,58,32,55.172,136,0,0
01/05/2025,165397,Heartland Care Center,IA,Yes,Yes,0,55,0,5,0,0,0,68,0,30,13,43.333,69,2,2.899
01/05/2025,165399,Regency Care Center,IA,Yes,Yes,0,151,0,7,0,0,0,119,0,83,57,68.675,86,6,6.977
01/05/2025,165404,New London Specialty Care,IA,Yes,Yes,0,75,0,11,0,0,0,76,0,43,30,69.767,67,3,4.478
01/05/2025,165405,Happy Siesta Health Care Center,IA,Yes,Yes,0,116,0,3,0,0,0,53,0,53,36,67.925,87,3,3.448
01/05/2025,165406,Rockwell Community Nursing Hom,IA,Yes,Yes,0,55,0,3,0,0,0,71,0,28,18,64.286,70,4,5.714
01/05/2025,165408,Accura Healthcare Of Bancroft,IA,Yes,Yes,0,37,0,10,0,0,0,73,0,23,11,47.826,33,0,0
01/05/2025,165414,"Accura Healthcare Of Pomeroy, Llc",IA,Yes,Yes,0,27,0,0,0,0,0,60,0,26,23,88.462,44,13,29.545
01/05/2025,165418,Simpson Memorial Home,IA,Yes,Yes,0,65,0,5,0,0,0,83,0,36,27,75,100,21,21
01/05/2025,165426,Aspire Of Perry,IA,Yes,Yes,0,54,0,1,0,0,0,42,0,34,0,0,47,0,0
01/05/2025,165427,Newton Health Care Center,IA,Yes,Yes,0,138,0,19,0,0,0,103,0,58,24,41.379,81,5,6.173
01/05/2025,165428,Careage Hills Rehabilitation And Healthcare,IA,Yes,Yes,3,88,0,2,1,1,0,102,3,32,21,65.625,61,1,1.639
01/05/2025,165432,Lutheran Living Senior Campus,IA,Yes,Yes,3,234,0,22,0,0,0,269,1,123,74,60.163,240,14,5.833
01/05/2025,165433,Faith Lutheran Home,IA,Yes,Yes,0,107,0,3,0,0,0,88,0,43,39,90.698,118,42,35.593
01/05/2025,165434,"Accura Healthcare Of Ogden, Llc",IA,Yes,Yes,0,68,0,1,0,0,0,55,0,38,0,0,35,0,0
01/05/2025,165435,"Accura Healthcare Of Sioux City, Llc",IA,Yes,Yes,14,101,0,5,0,0,0,78,0,41,32,78.049,69,4,5.797
01/05/2025,165436,Ivy At Davenport,IA,Yes,Yes,0,169,0,29,0,0,0,89,0,67,34,50.746,101,0,0
01/05/2025,165437,Maple Crest Manor,IA,Yes,Yes,0,88,0,7,0,0,0,71,0,41,23,56.098,62,22,35.484
01/05/2025,165438,Stacyville Community Nursing Home,IA,Yes,Yes,0,35,0,2,0,0,0,54,0,27,14,51.852,63,1,1.587
01/05/2025,165439,Oakview Nursing And Rehabilitation,IA,Yes,Yes,5,135,0,7,0,0,0,83,4,56,25,44.643,74,0,0
01/05/2025,165443,Grand Ji Vante,IA,Yes,Yes,0,69,0,2,0,0,0,88,0,33,19,57.576,52,3,5.769
01/05/2025,165444,West Bend Health And Rehabilitation,IA,Yes,Yes,0,75,0,9,0,0,0,107,0,44,12,27.273,49,0,0
01/05/2025,165445,Aspire Of Lake Park,IA,Yes,Yes,0,52,0,7,0,0,0,42,0,0,0,0,0,0,0
01/05/2025,165447,Midlands Living Center L L C,IA,Yes,Yes,0,175,0,1,0,0,0,154,0,66,51,77.273,156,13,8.333
01/05/2025,165448,Bishop Drumm Retirement Center,IA,Yes,Yes,1,191,0,16,0,0,0,113,0,114,65,57.018,218,5,2.294
01/05/2025,165449,Spencer Post Acute Rehabilitation Center,IA,Yes,Yes,0,121,0,7,0,0,0,129,0,62,45,72.581,72,19,26.389
01/05/2025,165451,Accura Healthcare Of Marshalltown,IA,Yes,Yes,0,136,0,19,0,0,0,82,0,54,1,1.852,35,0,0
01/05/2025,165453,Aspire Of Washington,IA,Yes,Yes,0,67,0,5,0,0,0,60,0,35,16,45.714,44,0,0
01/05/2025,165455,Accura Healthcare Of Carroll,IA,Yes,Yes,0,120,0,15,0,0,0,81,0,42,37,88.095,55,0,0
01/05/2025,165458,Aspire Of Sutherland,IA,Yes,Yes,0,69,0,0,0,0,0,16,0,21,0,0,18,0,0
01/05/2025,165460,Karen Acres Care Center,IA,Yes,Yes,0,29,0,7,0,0,0,27,0,25,17,68,74,6,8.108
01/05/2025,165468,Eastern Star Masonic Home,IA,Yes,Yes,0,87,0,7,0,0,0,173,0,73,54,73.973,160,15,9.375
01/05/2025,165470,Pleasantview Home,IA,Yes,Yes,0,82,0,8,0,0,0,168,0,55,37,67.273,170,11,6.471
01/05/2025,165471,Stonehill Care Center,IA,Yes,Yes,0,320,0,18,0,0,0,450,0,160,122,76.25,412,30,7.282
01/05/2025,165473,Sunrise Retirement Community,IA,Yes,Yes,0,127,0,12,0,0,0,236,0,69,43,62.319,244,5,2.049
01/05/2025,165474,The Ambassador Sidney Inc,IA,Yes,Yes,2,75,0,2,0,0,0,62,1,42,23,54.762,70,1,1.429
01/05/2025,165476,Colonial Manors Of Columbus Community,IA,Yes,Yes,3,49,0,7,0,0,0,37,3,33,23,69.697,69,8,11.594
01/05/2025,165480,St Francis Manor,IA,Yes,Yes,0,96,0,7,0,0,0,102,0,58,39,67.241,212,2,0.943
01/05/2025,165482,United Presbyterian Home,IA,Yes,Yes,0,82,0,4,0,0,0,100,0,50,32,64,174,7,4.023
01/05/2025,165483,Halcyon House,IA,Yes,Yes,0,53,0,1,0,0,0,122,0,51,12,23.529,142,6,4.225
01/05/2025,165484,St Luke Lutheran Nursing Home,IA,Yes,Yes,0,107,0,5,0,0,0,139,0,72,39,54.167,90,0,0
01/05/2025,165485,Lutheran Retirement Home,IA,Yes,Yes,2,69,0,2,0,0,0,100,1,35,24,68.571,101,18,17.822
01/05/2025,165487,Wesley On Grand,IA,Yes,Yes,0,146,0,10,0,0,0,101,0,75,36,48,220,6,2.727
01/05/2025,165488,Twilight Acres,IA,Yes,Yes,1,66,0,1,0,0,0,80,0,23,13,56.522,64,5,7.813
01/05/2025,165490,Accura Healthcare Of Cresco,IA,Yes,Yes,0,59,0,3,0,0,0,51,0,26,14,53.846,55,40,72.727
01/05/2025,165491,Evans Senior Living Community,IA,Yes,Yes,0,122,0,7,0,0,0,88,0,40,30,75,96,2,2.083
01/05/2025,165494,Tripoli Nursing & Rehab,IA,Yes,Yes,0,23,0,6,0,0,0,64,0,25,21,84,82,46,56.098
01/05/2025,165495,Clarksville Skilled Nursing & Rehab Center,IA,Yes,Yes,0,67,0,0,0,0,0,89,0,38,18,47.368,70,3,4.286
01/05/2025,165498,Westhaven Community,IA,Yes,Yes,0,132,0,0,0,0,0,119,0,50,19,38,101,0,0
01/05/2025,165500,Rotary Senior Living,IA,Yes,Yes,4,30,0,6,0,0,0,30,0,27,18,66.667,85,33,38.824
01/05/2025,165501,Community Care Center,IA,Yes,Yes,0,67,0,19,0,0,0,73,0,51,41,80.392,84,1,1.19
01/05/2025,165504,Algona Manor Care Center,IA,Yes,Yes,5,104,0,16,0,0,0,105,3,32,17,53.125,73,3,4.11
01/05/2025,165507,Valley View Village,IA,Yes,Yes,0,123,0,8,0,0,0,118,0,72,47,65.278,184,17,9.239
01/05/2025,165508,"Martin Health Center, Inc",IA,Yes,Yes,0,34,0,5,0,0,0,105,0,48,31,64.583,107,0,0
01/05/2025,165511,Linn Manor Care Center,IA,Yes,Yes,0,63,0,1,0,0,0,108,0,35,22,62.857,78,6,7.692
01/05/2025,165513,Luther Manor At Hillcrest,IA,Yes,Yes,0,220,0,26,0,0,0,236,0,96,0,0,207,0,0
01/05/2025,165516,Jackson Ridge Healthcare Center,IA,Yes,Yes,0,117,0,15,0,0,0,40,0,54,32,59.259,59,0,0
01/05/2025,165522,Parkview Manor Care Center,IA,Yes,Yes,0,47,0,3,0,0,0,62,0,26,18,69.231,58,10,17.241
01/05/2025,165523,Aspire Of Estherville,IA,Yes,Yes,2,91,0,3,0,0,0,47,0,37,25,67.568,54,0,0
01/05/2025,165531,Garden View Care Center,IA,Yes,Yes,0,93,0,6,0,0,0,91,0,36,1,2.778,53,0,0
01/05/2025,165535,"Accura Healthcare Of Aurelia, Llc",IA,Yes,Yes,0,51,0,1,0,0,0,48,0,32,24,75,77,1,1.299
01/05/2025,165536,I O O F Home And Community Therapy Center,IA,Yes,Yes,0,98,0,6,0,0,0,91,0,66,60,90.909,144,85,59.028
01/05/2025,165537,Hiawatha Care Center,IA,Yes,Yes,1,206,0,32,0,0,0,237,1,105,66,62.857,209,2,0.957
01/05/2025,165538,Prairie Ridge Care Center,IA,Yes,Yes,1,108,0,7,0,0,0,145,0,84,45,53.571,194,0,0
01/05/2025,165541,Riceville Family Care And Therapy Center,IA,Yes,Yes,0,61,0,8,0,0,0,69,0,26,16,61.538,95,2,2.105
01/05/2025,165542,Meth-Wick Health Center,IA,Yes,Yes,0,98,0,11,0,0,0,124,0,60,49,81.667,195,26,13.333
01/05/2025,165545,Windmill Manor,IA,Yes,Yes,0,201,0,0,0,0,0,114,0,96,47,48.958,152,42,27.632
01/05/2025,165546,Tabor Manor Care Center,IA,Yes,Yes,0,62,0,6,0,0,0,57,0,40,33,82.5,54,41,75.926
01/05/2025,165547,Parkview Home,IA,Yes,Yes,0,67,0,1,0,0,0,77,0,28,1,3.571,82,6,7.317
01/05/2025,165552,The Vinton Lutheran Home,IA,Yes,Yes,1,82,0,4,0,0,0,99,1,49,23,46.939,87,6,6.897
01/05/2025,165553,The Vistas At Bettendorf,IA,Yes,Yes,5,142,0,1,0,0,0,94,3,69,40,57.971,146,3,2.055
01/05/2025,165555,Adel Acres,IA,Yes,Yes,0,100,0,4,0,0,0,90,0,44,0,0,56,4,7.143
01/05/2025,165557,Deerfield Health Care Center,IA,Yes,Yes,0,43,0,2,0,0,0,58,0,22,18,81.818,65,0,0
01/05/2025,165559,Ennoble Nursing And Rehab,IA,Yes,Yes,0,151,0,14,0,0,0,132,0,66,41,62.121,100,0,0
01/05/2025,165565,Hawkeye Care Center Dubuque,IA,Yes,Yes,1,138,0,13,0,0,0,198,1,69,34,49.275,185,9,4.865
01/05/2025,165567,West Ridge Care Center,IA,Yes,Yes,0,115,0,32,0,0,0,76,0,46,37,80.435,95,42,44.211
01/05/2025,165568,Accura Healthcare Of Cascade Llc,IA,Yes,Yes,9,77,0,4,0,0,0,76,7,41,31,75.61,69,7,10.145
01/05/2025,165569,West Point Care Center Inc,IA,Yes,Yes,0,93,0,4,0,0,0,100,0,32,23,71.875,53,4,7.547
01/05/2025,165574,Prairie View Home,IA,Yes,Yes,0,91,0,13,0,0,0,121,0,40,25,62.5,102,0,0
01/05/2025,165577,Green Hills Health Care Center,IA,Yes,Yes,0,62,0,1,0,0,0,81,0,44,32,72.727,219,2,0.913
01/05/2025,165578,Premier Estates Of Muscatine,IA,Yes,Yes,3,139,0,3,0,0,0,87,2,55,37,67.273,73,0,0
01/05/2025,165579,Maquoketa Care Center,IA,Yes,Yes,0,30,0,1,0,0,0,56,0,33,23,69.697,83,0,0
01/05/2025,165580,Urbandale Health Care Center,IA,Yes,Yes,0,194,0,2,0,0,0,107,0,86,55,63.953,202,0,0
01/05/2025,165585,Aspire Of Muscatine,IA,Yes,Yes,0,114,0,21,0,0,0,83,0,34,0,0,51,0,0
01/05/2025,165586,Timely Mission Nursing Home,IA,Yes,Yes,0,51,0,2,0,0,0,66,0,30,18,60,49,1,2.041
01/05/2025,165590,Clarence Nursing Home,IA,Yes,Yes,0,145,0,9,0,0,0,83,0,44,36,81.818,72,4,5.556
01/05/2025,165591,Spurgeon Manor,IA,Yes,Yes,0,63,0,4,0,0,0,96,0,47,38,80.851,131,1,0.763
01/05/2025,165593,Scottish Rite Park Inc,IA,Yes,Yes,0,40,0,2,0,0,0,103,0,31,26,83.871,100,8,8
01/05/2025,165603,Denver Sunset Home,IA,Yes,Yes,0,56,0,5,0,0,0,69,0,25,15,60,62,0,0
01/05/2025,165604,Keystone Nursing Care Center Inc,IA,Yes,Yes,0,105,0,16,0,0,0,94,0,41,26,63.415,100,4,4
01/05/2025,165606,Perry Lutheran Home,IA,Yes,Yes,0,117,0,7,0,0,0,92,0,63,55,87.302,71,8,11.268
01/05/2025,165609,Newton Village Health Care Center,IA,Yes,Yes,0,28,0,1,0,0,0,61,0,23,11,47.826,120,9,7.5
01/05/2025,165611,Wilton Retirement Community,IA,Yes,Yes,0,44,0,11,0,0,0,75,0,33,25,75.758,112,8,7.143
01/05/2025,165613,Northridge Village,IA,Yes,Yes,0,59,0,7,0,0,0,119,0,38,34,89.474,150,8,5.333
01/05/2025,165614,Rose Haven Nursing Home,IA,Yes,Yes,0,113,0,4,0,0,0,106,0,47,30,63.83,77,2,2.597
01/05/2025,165616,The Bridges At Ankeny,IA,Yes,Yes,0,130,0,5,0,0,0,166,0,90,76,84.444,154,0,0
01/05/2025,165617,Rehabilitation Center Of Lisbon,IA,Yes,Yes,0,110,0,6,0,0,0,122,0,64,41,64.063,100,0,0
01/05/2025,165618,Grand Meadows,IA,Yes,Yes,0,77,0,3,0,0,0,110,0,30,21,70,109,0,0
01/05/2025,165619,Fieldstone Of Dewitt,IA,Yes,Yes,0,120,0,11,0,0,0,130,0,68,57,83.824,170,11,6.471
01/05/2025,165621,The Gardens Of Cedar Rapids,IA,Yes,Yes,0,74,0,12,0,0,0,110,0,37,23,62.162,117,0,0
01/05/2025,165622,The Suites At Western Home Communities,IA,Yes,Yes,0,156,0,8,0,0,0,172,0,71,25,35.211,159,0,0
01/05/2025,165623,Creekside,IA,Yes,Yes,0,46,0,1,0,0,0,107,0,39,28,71.795,75,2,2.667
01/05/2025,165625,Terrace Glen Village,IA,Yes,Yes,0,41,0,4,0,0,0,120,0,38,25,65.789,171,53,30.994
01/05/2025,165626,Oakview Nursing & Rehablitation - Marion,IA,Yes,Yes,0,47,0,8,0,0,0,51,0,36,35,97.222,57,47,82.456
01/05/2025,165794,Prairie Gate,IA,Yes,Yes,1,27,0,0,1,1,0,82,1,37,29,78.378,91,6,6.593
01/05/2025,165795,Perry Lutheran Homes Eden Acres Campus,IA,Yes,Yes,0,60,0,1,0,0,0,30,0,49,40,81.633,54,8,14.815
01/05/2025,165797,Southeast Iowa Healthcare Center,IA,Yes,Yes,0,8,0,0,0,0,0,11,0,49,15,30.612,90,1,1.111
